567	1867604657,373192725_align	4129293247,1523689376_align
3	1050133838,3793793234_align	790	4125833374,3653655215_align
335	2657809666,3454657504_align	4070007317,4237603309_align
1233	2235926636,2587589995_align	1332	2755716396,44539021_align
356	792353617,1816641773_align	3281989963,1764355050_align
352	1340257013,1127679929_align	1128	3177427059,1242583899_align
386	2591459912,1802444099_align	1850	1414512048,212703991_align
441	3925870372,1489252543_align	984	3463611032,2630758930_align
356	3442474619,785675403_align	378	2870772808,3528460508_align
306	1545431818,2594804877_align	00e93901213fb80e6e703c2437d12f2eb838949b.jpg_align
1083	1350525976,1089808844_align	2253760862,899160344_align
385	4226440986,3033148513_align	1566071900,900664889_align
1464	245747098,1512129633_align	1605	1415886694,2411509990_align
738	2098276598,3894749394_align	56	89371299,2050369030_align
1700	1811386587,2603725852_align	615	619388406,844256231_align
816	967406707,1558678031_align	801951381,3244865622_align
56	1003427809,1875489016_align	3	2753479992,3965925982_align
717	974927506,325587362_align	1996208992,3812750868_align
790	2828865607,2929205124_align	717	469415541,1337591695_align
42	547508410,3694545765_align	426	149131889,3678401475_align
385	2724050686,1855816103_align	2158389136,3424128565_align
1897	3135021436,584262390_align	983	2746026608,3713072221_align
1066	1813087718,2040232545_align	319	1394830091,3159771622_align
177	3973601788,454721595_align	2542545157,2124507869_align
627	4e0b3ea47064f9dc9052eed0.jpg_align	938	898304835,2672520849_align
1578	1537504909,4193081095_align	790	3751436815,3438795267_align
1695	3737004080,618332747_align	2855020752,672443483_align
957	3217004772,548622224_align	177	1087479556,511359010_align
1901	3017459854,3665712741_align	212	3642630845,2109841154_align
216	448479535,2931878389_align	938	3823694881,4136490575_align
212	649638980,2596625401_align	634296431,374866902_align
567	2654713725,4042671291_align	85664073,3660679336_align
306	00e93901213fb80e6e703c2437d12f2eb838949b.jpg_align	1044	250243980,3207378822_align
938	3314530661,225006518_align	133	2498643232,2123053_align
133	977207,219440812_align	56	1063206474,1869324932_align
184	2402123397,3787894309_align	1044	156330391,1129899416_align
1939	3551847146,4109608130_align	7	577507079,4179418511_align
1897	446394514,858053166_align	983	1008021759,4108611034_align
256	2423691099,2647691232_align	216	545816677,3632995830_align
1083	3424537777,4195202221_align	457	e824b899a9014c08affe45360f7b02087af4f458.jpg_align
915	2732704920,1944691430_align	1965	1740467319,2919139733_align
1133	344448015,2451055163_align	4176734616,704354366_align
1763	3197301425,2543159044_align	335	4196605864,1637068315_align
1083	137774193,809051241_align	457	77094b36acaf2eddbacc257a881001e939019367.jpg_align
368	126752990,3015468185_align	435	5d6034a85edf8db1e29c3c8d0923dd54574e74ac.jpg_align
1012	940482255,1170745791_align	1497	3977174436,2760254093_align
1813	2694737140,3082814249_align	1711926083,2173016289_align
484	3645057312,3966288284_align	914277366,1460486334_align
1932	1615524376,1628209729_align	1615524376,1628209729_align
368	3945146451,2914500332_align	435	500fd9f9d72a6059fe86a1f32834349b023bba41.jpg_align
435	1070223117,2959631059_align	915	1507069234,4063644472_align
133	1287796308,874338825_align	4020769750,1349774164_align
1133	3388456114,324452615_align	1764	4152232707,1150961671_align
133	3420699513,3435307466_align	56	32046690,843195293_align
870	96344338,4071059111_align	1535156650,2409075279_align
1932	2033114876,130398626_align	3885769175,479078935_align
1532	1135172827,1853811150_align	870	4006062422,803518312_align
1764	4152232707,1150961671_align	177	202369113,1379379367_align
1932	2033114876,130398626_align	734	2327036316,3657062222_align
536	1268402373,36553350_align	2696239105,3250099951_align
1700	b8389b504fc2d562505455a9e61190ef76c66c12.jpg_align	615	2685875100,3344756441_align
69	993682795,1075207009_align	814716714,575940438_align
938	2080014188,4047177001_align	2080014188,4047177001_align
45	5056012,420785808_align	1147958133,1356814259_align
1131	3858236936,284829716_align	834544567,382214040_align
1053	1132768149,1586182747_align	1939	759478042,841142405_align
816	1542987157,2074597030_align	627	29752a9b3f725f99c9eaf4d2.jpg_align
1497	1590996119,1135874324_align	1464	3869866646,1698913289_align
909	278334868,2320079585_align	1520	1560544642,4229447563_align
1763	4152137284,347893928_align	335	1444304686,2809353843_align
328	1027380517,236243816_align	2167597855,4290417317_align
133	1287796308,874338825_align	963966376,1995795815_align
69	3210108431,4200169346_align	352	3462456663,3787913360_align
1131	813846020,40360654_align	1403724134,2550401947_align
69	2495898721,1252364704_align	352	191927822,3966430636_align
1012	1359640398,3284264846_align	3485484606,1584989002_align
536	984293406,1834509654_align	3258812061,2596956093_align
45	628316181,1496766074_align	1070	1366246131,3333392262_align
984	3463611032,2630758930_align	3463611032,2630758930_align
1850	322972568,2226800871_align	638	1813805482,726729315_align
56	2231473955,4134156754_align	89371299,2050369030_align
1332	1026296083,2830979753_align	1053	2638378759,1929245587_align
870	2071962861,332701810_align	1655	3318222734,932084141_align
915	467831647,1640727894_align	3121515275,2355487189_align
335	2229556493,2701340841_align	113	2516034793,1211179305_align
1764	2286222104,1017139519_align	2286222104,1017139519_align
50	5fdf8db1cb13495475fff98b564e9258d0094a7f.jpg_align	28	2963883709,3795711712_align
738	1825774719,939603201_align	1652444662,2612954660_align
548	1719296605,1254078126_align	1012	3517943590,2958064240_align
256	1984736557,870624268_align	216	4048005945,3240285611_align
883	1633058314,3411865697_align	386	3685823817,2313308832_align
426	45724252,77091451_align	1901	3159226501,2750740315_align
69	110251422,3089039011_align	352	38110111,542482707_align
56	1857378253,1528928684_align	3	703402619,1442689335_align
1965	2022018873,22086529_align	1740467319,2919139733_align
435	30adcbef76094b363d1ecedba7cc7cd98d109d7c.jpg_align	1190177056,3868959077_align
1332	4081456322,1535528634_align	1053	4272030460,1243293698_align
1966	2739558774,2858429256_align	984	3341364480,1212506068_align
924	3211330156,2926937119_align	3211330156,2926937119_align
1897	3135021436,584262390_align	3847983304,2743126434_align
1131	2534046917,474338196_align	4111095769,224364952_align
1839	866814377,2310622376_align	1066	1586371062,1348615224_align
162	3875967865,766447371_align	1695	3932859755,3446896688_align
957	3608147074,2834202575_align	177	638427963,274200083_align
734	2990572010,4253077217_align	2327036316,3657062222_align
1655	1995550008,2750224181_align	841	1018202749,4175315791_align
957	1056070003,2386807623_align	1866167267,2166230810_align
841	1737919551,2332487153_align	1027179441,131892703_align
938	2284435945,455828355_align	133	866837894,3565091282_align
